State, Year, Enrolled Agencies, Participating, Enrolled
AK,2020,"Alaska Department of Public Safety, Alaska State Troopers",Yes,Yes
AK,2020,"Anchorage Police Department",Yes,Yes
AK,2020,"Bethel Police Department",Yes,Yes
AK,2020,"Cordova Police Department",Yes,Yes
AK,2020,"Fairbanks International Airport",Yes,Yes
AK,2020,"Fairbanks Police Department",Yes,Yes
AK,2020,"Haines Police Department",Yes,Yes
AK,2020,"Juneau Police Department",Yes,Yes
AK,2020,"Ketchikan Police Department",Yes,Yes
AK,2020,"Kodiak Police Department",Yes,Yes
AK,2020,"Palmer Police Department",Yes,Yes
AK,2020,"Petersburg Police Department",Yes,Yes
AK,2020,"Soldotna Police Department",Yes,Yes
AK,2020,"University of Alaska, Fairbanks",Yes,Yes
AK,2020,"Valdez Police Department",Yes,Yes
AK,2020,"Wasilla Police Department",Yes,Yes
AL,2020,"Ashville Police Department",Yes,Yes
AL,2020,"Birmingham Police Department",,Yes
AL,2020,"Cottonwood Police Department",Yes,Yes
AL,2020,"Leeds Police Department",Yes,Yes
AL,2020,"Madison Police Department",Yes,Yes
AL,2020,"Millbrook Police Department",,Yes
AL,2020,"Shelby County Sheriff's Office",Yes,Yes
AR,2020,"Benton County Sheriff's Office",Yes,Yes
AR,2020,"Dallas County Sheriff's Office",,Yes
AR,2020,"Fort Smith Police Department",Yes,Yes
AR,2020,"Pope County Sheriff's Office",,Yes
AR,2020,"Pulaski County Sheriff's Office",Yes,Yes
AR,2020,"Quitman Police Department",Yes,Yes
AR,2020,"Rogers Police Department",Yes,Yes
AR,2020,"Springdale Police Department",Yes,Yes
AR,2020,"State Police Headquarters, Little Rock",Yes,Yes
AR,2020,"University of Central Arkansas",Yes,Yes
AZ,2020,"Arizona Department of Public Safety",,Yes
AZ,2020,"Casa Grande Police Department",Yes,Yes
AZ,2020,"Chandler Police Department",,Yes
AZ,2020,"Department of Public Safety, Yuma",,Yes
AZ,2020,"Flagstaff Police Department",,Yes
AZ,2020,"Fort McDowell Tribal",Yes,Yes
AZ,2020,"Gila River Indian Community",,Yes
AZ,2020,"Gilbert Police Department",Yes,Yes
AZ,2020,"Glendale Police Department",,Yes
AZ,2020,"Hualapai Tribal",Yes,Yes
AZ,2020,"Kingman Police Department",Yes,Yes
AZ,2020,"Mesa Police Department",,Yes
AZ,2020,"Northern Arizona University",Yes,Yes
AZ,2020,"Paradise Valley Police Department",Yes,Yes
